Airline (group),Fatalities Percent change,Number of Records,Airline,Avail Seat Km Per Week,Fatal Accidents 00 14,Fatal Accidents 85 99,Fatalities 00 14,Fatalities 85 99,Incidents 00 14,Incidents 85 99
Aer Lingus,,1,Aer Lingus,320906734,0,0,0,0,0,2
Aeroflot*,-31.25,1,Aeroflot*,1197672318,1,14,88,128,6,76
Aerolineas Argentinas,,1,Aerolineas Argentinas,385803648,0,0,0,0,1,6
Aeromexico*,-100,1,Aeromexico*,596871813,0,1,0,64,5,3
consistent airlines,,1,Air Canada,1865253802,0,0,0,0,2,2
Air France,326.5822785,1,Air France,3004002661,2,4,337,79,6,14
Air India*,-51.97568389,1,Air India*,869253552,1,1,158,329,4,2
Air New Zealand*,,1,Air New Zealand*,710174817,1,0,7,0,5,3
Alaska Airlines*,,1,Alaska Airlines*,965346773,1,0,88,0,5,5
Alitalia,-100,1,Alitalia,698012498,0,2,0,50,4,7
All Nippon Airways,-100,1,All Nippon Airways,1841234177,0,1,0,1,7,3
American*,311.8811881,1,American*,5228357340,3,5,416,101,17,21
Austrian Airlines,,1,Austrian Airlines,358239823,0,0,0,0,1,1
Avianca,-100,1,Avianca,396922563,0,3,0,323,0,5
consistent airlines,,1,British Airways*,3179760952,0,0,0,0,6,4
consistent airlines,,1,Cathay Pacific*,2582459303,0,0,0,0,2,0
China Airlines,-57.94392523,1,China Airlines,813216487,1,6,225,535,2,12
Condor,-100,1,Condor,417982610,0,1,0,16,0,2
COPA,-100,1,COPA,550491507,0,1,0,47,0,3
Delta / Northwest*,-87.46928747,1,Delta / Northwest*,6525658894,2,12,51,407,24,24
Egyptair,-95.03546099,1,Egyptair,557699891,1,3,14,282,4,8
El Al,-100,1,El Al,335448023,0,1,0,4,1,1
Ethiopian Airlines,-44.91017964,1,Ethiopian Airlines,488560643,2,5,92,167,5,25
Finnair,,1,Finnair,506464950,0,0,0,0,0,1
Garuda Indonesia,-91.53846154,1,Garuda Indonesia,613356665,2,3,22,260,4,10
Gulf Air,,1,Gulf Air,301379762,1,0,143,0,3,1
consistent airlines,,1,Hawaiian Airlines,493877795,0,0,0,0,1,0
Iberia,-100,1,Iberia,1173203126,0,1,0,148,5,4
Japan Airlines,-100,1,Japan Airlines,1574217531,0,1,0,520,0,3
Kenya Airways,,1,Kenya Airways,277414794,2,0,283,0,2,2
KLM*,-100,1,KLM*,1874561773,0,1,0,3,1,7
Korean Air,-100,1,Korean Air,1734522605,0,5,0,425,1,12
LAN Airlines,-100,1,LAN Airlines,1001965891,0,2,0,21,0,3
Lufthansa*,-100,1,Lufthansa*,3426529504,0,1,0,2,3,6
Malaysia Airlines,1479.411765,1,Malaysia Airlines,1039171244,2,1,537,34,3,3
Pakistan International,-80.34188034,1,Pakistan International,348563137,2,3,46,234,10,8
Philippine Airlines,-98.64864865,1,Philippine Airlines,413007158,1,4,1,74,2,7
Qantas*,,1,Qantas*,1917428984,0,0,0,0,5,1
Royal Air Maroc,-100,1,Royal Air Maroc,295705339,0,3,0,51,3,5
SAS*,,1,SAS*,682971852,1,0,110,0,6,5
Saudi Arabian,-100,1,Saudi Arabian,859673901,0,2,0,313,11,7
Singapore Airlines,1283.333333,1,Singapore Airlines,2376857805,1,2,83,6,2,2
South African,-100,1,South African,651502442,0,1,0,159,1,2
consistent airlines,,1,Southwest Airlines,3276525770,0,0,0,0,8,1
Sri Lankan / AirLanka,-100,1,Sri Lankan / AirLanka,325582976,0,1,0,14,4,2
SWISS*,-100,1,SWISS*,792601299,0,1,0,229,3,2
TACA,0,1,TACA,259373346,1,1,3,3,1,3
TAM,91.83673469,1,TAM,1509195646,2,3,188,98,7,8
TAP - Air Portugal,,1,TAP - Air Portugal,619130754,0,0,0,0,0,0
Thai Airways,-99.67532468,1,Thai Airways,1702802250,1,4,1,308,2,8
Turkish Airlines,31.25,1,Turkish Airlines,1946098294,2,3,84,64,8,8
United / Continental*,-65.830721,1,United / Continental*,7139291291,2,8,109,319,14,19
US Airways / America West*,-89.73214286,1,US Airways / America West*,2455687887,2,7,23,224,11,16
Vietnam Airlines,-100,1,Vietnam Airlines,625084918,0,3,0,171,1,7
consistent airlines,,1,Virgin Atlantic,1005248585,0,0,0,0,0,1
Xiamen Airlines,-100,1,Xiamen Airlines,430462962,0,1,0,82,2,9
